"id_curriculo";"codigo";"nome_matriz";"id_curso";"nome_curso";"semestre_conclusao_minimo";"semestre_conclusao_ideal";"semestre_conclusao_maximo";"meses_conclusao_minimo";"meses_conclusao_ideal";"meses_conclusao_maximo";"cr_total_minimo";"ch_total_minima";"ch_optativas_minima";"ch_complementar_minima";"max_eletivos";"ch_nao_atividade_obrigatoria";"cr_nao_atividade_obrigatorio";"ch_atividade_obrigatoria";"cr_minimo_semestre";"cr_ideal_semestre";"cr_maximo_semestre";"ch_minima_semestre";"ch_ideal_semestre";"ch_maxima_semestre";"periodo_entrada_vigor";"ano_entrada_vigor";"observacao"
"14206731";"02";"";"5876841";"DOUTORADO EM CIENCIAS CONTABEIS (UNB-UFRN-UFPB)";"24";"48";"60";"24";"48";"48";"36";"540";"345";"";"240";"195";"13";"0";"1";"12";"30";"0";"";"";"1";"2009";""
"108819794";"dout15";"";"108227148";"DOUTORADO EM ANTROPOLOGIA SOCIAL";"24";"48";"48";"24";"48";"48";"40";"600";"360";"";"0";"240";"16";"0";"1";"12";"20";"1";"";"";"1";"2015";""
"140098";"02";"";"315763";"DOUTORADO EM GEODINÂMICA E GEOFÍSICA";"24";"48";"48";"24";"48";"48";"40";"600";"510";"";"240";"90";"6";"0";"1";"12";"24";"1";"0";"";"1";"2004";""
"140069";"01";"";"315787";"DOUTORADO EM CIÊNCIA E ENGENHARIA DE PETRÓLEO";"24";"48";"48";"24";"48";"48";"0";"180";"0";"";"240";"180";"0";"0";"1";"12";"99";"1";"0";"";"2";"2006";""
"19074700";"01";"";"19018260";"DOUTORADO EM DESENVOLVIMENTO E MEIO AMBIENTE";"24";"48";"48";"24";"48";"48";"24";"675";"360";"";"240";"315";"0";"0";"1";"8";"20";"1";"";"";"1";"2010";""
"105572856";"DTUR-1";"";"104910434";"DOUTORADO EM TURISMO";"24";"48";"48";"24";"48";"48";"36";"540";"420";"";"0";"120";"8";"0";"1";"16";"32";"0";"";"";"2";"2014";""
"14329525";"10";"";"315750";"DOUTORADO EM ENGENHARIA ELÉTRICA E DE COMPUTAÇÃO";"24";"48";"48";"24";"48";"48";"24";"360";"360";"";"240";"0";"0";"0";"1";"12";"20";"0";"";"";"2";"2009";""
"133814073";"05A";"ADMINISTRAÇÃO - NATAL - M - BACHARELADO";"2000002";"ADMINISTRAÇÃO";"8";"8";"12";"";"";"";"136";"3075";"420";"180";"600";"2040";"136";"435";"";"";"";"30";"";"420";"1";"2019";""
"109352453";"Dot2015";"";"50903134";"DOUTORADO EM ENFERMAGEM NA ATENÇÃO À SAÚDE";"24";"42";"48";"24";"42";"48";"18";"600";"270";"";"0";"330";"0";"0";"1";"15";"20";"1";"";"";"1";"2015";""
"127916564";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"60";"2400";"480";"120";"600";"1740";"60";"60";"";"";"";"60";"";"0";"2";"2016";""
"134312586";"AMIHUAB";"";"5036021";"RESIDÊNCIA EM ASSISTÊNCIA MATERNO-INFANTIL";"";"";"";"";"";"";"0";"5768";"0";"";"0";"0";"0";"0";"";"";"";"0";"";"";"1";"2019";""
"127184512";"mec18d";"";"315752";"DOUTORADO EM ENGENHARIA MECÂNICA";"24";"48";"48";"24";"48";"48";"36";"540";"480";"";"0";"60";"4";"0";"";"";"";"0";"";"";"1";"2018";""
"127931167";"02";"CIÊNCIAS E TECNOLOGIA - NATAL - MTN";"10320810";"CIÊNCIAS E TECNOLOGIA";"7";"7";"10";"";"";"";"0";"2400";"870";"120";"600";"1350";"0";"60";"";"";"";"60";"";"0";"2";"2016";""
"122836042";"PAT_17D";"";"315734";"DOUTORADO EM PATOLOGIA ORAL";"24";"48";"48";"24";"48";"48";"0";"405";"0";"";"0";"405";"0";"0";"";"";"";"0";"";"";"1";"2017";""
"118996139";"dot2016";"";"17975012";"DOUTORADO EM CIÊNCIAS CLIMÁTICAS";"24";"48";"48";"24";"48";"48";"36";"555";"180";"";"0";"360";"24";"15";"";"";"";"1";"";"";"2";"2016";""
