,id_curriculo_componente,id_curriculo,id_componente_curricular,semestre_oferta,tipo_vinculo_componente,nivel_ensino
7966,134044551,134044403,55047,0,OPTATIVO,GRADUAÇÃO
7978,133795194,133795010,55061,0,OPTATIVO,GRADUAÇÃO
8022,133804563,133804382,68478,0,OPTATIVO,GRADUAÇÃO
8080,133795162,133795010,52796,0,OPTATIVO,GRADUAÇÃO
8096,133798088,133797961,55037,0,OPTATIVO,GRADUAÇÃO
8100,151043559,134044403,72713,0,OPTATIVO,GRADUAÇÃO
8240,136619680,133797961,70884,0,OPTATIVO,GRADUAÇÃO
8311,133804575,133804382,66436,1,OBRIGATÓRIO,GRADUAÇÃO
8377,133795064,133795010,52866,0,OPTATIVO,GRADUAÇÃO
8444,134044617,134044403,61130,0,OPTATIVO,GRADUAÇÃO
8452,133804406,133804382,21787,0,OPTATIVO,GRADUAÇÃO
8469,134044511,134044403,61098,0,OPTATIVO,GRADUAÇÃO
8508,133804823,133804382,23465,0,OPTATIVO,GRADUAÇÃO
8605,133804419,133804382,2054928,0,OPTATIVO,GRADUAÇÃO
8819,133804506,133804382,52789,0,OPTATIVO,GRADUAÇÃO
8834,134044580,134044403,52665,2,OBRIGATÓRIO,GRADUAÇÃO
8872,134044430,134044403,26929,0,OPTATIVO,GRADUAÇÃO
9024,133799116,133797961,69619,0,OPTATIVO,GRADUAÇÃO
9054,133804517,133804382,52686,0,OPTATIVO,GRADUAÇÃO
9132,133795061,133795010,2054955,0,OPTATIVO,GRADUAÇÃO
9170,133795013,133795010,26528,0,OPTATIVO,GRADUAÇÃO
9262,133795026,133795010,26919,0,OPTATIVO,GRADUAÇÃO
9284,133798174,133797961,66438,1,OBRIGATÓRIO,GRADUAÇÃO
9351,139932350,134044403,69613,0,OPTATIVO,GRADUAÇÃO
9433,133799118,133797961,69621,0,OPTATIVO,GRADUAÇÃO
9469,133804596,133804382,52972,5,OBRIGATÓRIO,GRADUAÇÃO
9477,134044609,134044403,55061,0,OPTATIVO,GRADUAÇÃO
9582,133804384,133804382,43193,0,OPTATIVO,GRADUAÇÃO
9611,133798065,133797961,61087,0,OPTATIVO,GRADUAÇÃO
9619,133795161,133795010,52793,0,OPTATIVO,GRADUAÇÃO
9637,133798038,133797961,59734,0,OPTATIVO,GRADUAÇÃO
9732,133795152,133795010,52789,0,OPTATIVO,GRADUAÇÃO
9812,133804586,133804382,55025,3,OBRIGATÓRIO,GRADUAÇÃO
9852,134044495,134044403,59737,0,OPTATIVO,GRADUAÇÃO
10210,134044631,134044403,55325,0,OPTATIVO,GRADUAÇÃO
10275,134044534,134044403,61121,0,OPTATIVO,GRADUAÇÃO
10380,134044446,134044403,2040950,0,OPTATIVO,GRADUAÇÃO
10405,133798093,133797961,55043,0,OPTATIVO,GRADUAÇÃO
10616,133804554,133804382,62887,0,OPTATIVO,GRADUAÇÃO
10627,133798012,133797961,2054954,0,OPTATIVO,GRADUAÇÃO
10637,134044638,134044403,52650,2,OBRIGATÓRIO,GRADUAÇÃO
10728,134044621,134044403,65101,0,OPTATIVO,GRADUAÇÃO
10951,134044594,134044403,52690,0,OPTATIVO,GRADUAÇÃO
11029,133798022,133797961,52975,0,OPTATIVO,GRADUAÇÃO
11033,134044618,134044403,63932,0,OPTATIVO,GRADUAÇÃO
11177,133795183,133795010,55055,0,OPTATIVO,GRADUAÇÃO
11248,133798139,133797961,55060,0,OPTATIVO,GRADUAÇÃO
11307,133798130,133797961,52699,0,OPTATIVO,GRADUAÇÃO
11334,151047847,133804382,69588,0,OPTATIVO,GRADUAÇÃO
11490,133795028,133795010,26921,0,OPTATIVO,GRADUAÇÃO
11598,133804467,133804382,61083,0,OPTATIVO,GRADUAÇÃO
11683,140151303,133804382,69598,0,OPTATIVO,GRADUAÇÃO
11687,133804543,133804382,55084,0,OPTATIVO,GRADUAÇÃO
11693,133798925,133795010,69611,0,OPTATIVO,GRADUAÇÃO
11739,133798089,133797961,55094,0,OPTATIVO,GRADUAÇÃO
11974,133804434,133804382,25561,0,OPTATIVO,GRADUAÇÃO
11984,151040545,133795010,72713,0,OPTATIVO,GRADUAÇÃO
12011,133804530,133804382,52794,0,OPTATIVO,GRADUAÇÃO
12025,133804505,133804382,52792,0,OPTATIVO,GRADUAÇÃO
12058,133804512,133804382,52795,0,OPTATIVO,GRADUAÇÃO
12113,134044568,134044403,52687,0,OPTATIVO,GRADUAÇÃO
12139,133804573,133804382,55082,1,OBRIGATÓRIO,GRADUAÇÃO
12197,133798073,133797961,61114,0,OPTATIVO,GRADUAÇÃO
12220,133798067,133797961,61094,0,OPTATIVO,GRADUAÇÃO
12222,133804465,133804382,61100,0,OPTATIVO,GRADUAÇÃO
12379,134045125,134044403,66441,1,OBRIGATÓRIO,GRADUAÇÃO
12500,134044483,134044403,23553,0,OPTATIVO,GRADUAÇÃO
12583,134044419,134044403,26917,0,OPTATIVO,GRADUAÇÃO
12639,133799112,133797961,69615,0,OPTATIVO,GRADUAÇÃO
12715,133795102,133795010,61095,0,OPTATIVO,GRADUAÇÃO
12765,151043558,134044403,72709,0,OPTATIVO,GRADUAÇÃO
12806,133804414,133804382,2054919,0,OPTATIVO,GRADUAÇÃO
12839,134044616,134044403,62888,0,OPTATIVO,GRADUAÇÃO
12937,134044540,134044403,55038,0,OPTATIVO,GRADUAÇÃO
13048,133797991,133797961,2040950,0,OPTATIVO,GRADUAÇÃO
13168,134044632,134044403,23538,0,OPTATIVO,GRADUAÇÃO
13185,133798033,133797961,56269,0,OPTATIVO,GRADUAÇÃO
13186,133798132,133797961,52702,0,OPTATIVO,GRADUAÇÃO
13327,133799095,133797961,69597,0,OPTATIVO,GRADUAÇÃO
13481,134044425,134044403,26923,0,OPTATIVO,GRADUAÇÃO
13504,133804390,133804382,62381,0,OPTATIVO,GRADUAÇÃO
13576,137397628,133804382,69612,0,OPTATIVO,GRADUAÇÃO
13616,133798933,133795010,69619,0,OPTATIVO,GRADUAÇÃO
13808,133798002,133797961,2054927,0,OPTATIVO,GRADUAÇÃO
13816,134044552,134044403,55049,0,OPTATIVO,GRADUAÇÃO
13819,134044627,134044403,61132,0,OPTATIVO,GRADUAÇÃO
13824,133798145,133797961,55061,0,OPTATIVO,GRADUAÇÃO
13830,133798935,133795010,69621,0,OPTATIVO,GRADUAÇÃO
13884,133798028,133797961,20033,0,OPTATIVO,GRADUAÇÃO
13970,134044478,134044403,52973,0,OPTATIVO,GRADUAÇÃO
13985,133804514,133804382,52788,0,OPTATIVO,GRADUAÇÃO
13997,133799106,133797961,69609,0,OPTATIVO,GRADUAÇÃO
14002,133798071,133797961,61112,0,OPTATIVO,GRADUAÇÃO
14014,133795118,133795010,61111,0,OPTATIVO,GRADUAÇÃO
14147,133798085,133797961,55040,0,OPTATIVO,GRADUAÇÃO
14235,133804822,133804382,55372,0,OPTATIVO,GRADUAÇÃO
14336,133795081,133795010,56269,0,OPTATIVO,GRADUAÇÃO
14485,133795126,133795010,61119,0,OPTATIVO,GRADUAÇÃO
14544,133797984,133797961,26931,0,OPTATIVO,GRADUAÇÃO
14568,133798922,133795010,69608,0,OPTATIVO,GRADUAÇÃO
14598,151047850,133804382,69616,0,OPTATIVO,GRADUAÇÃO
14621,133795138,133795010,55041,0,OPTATIVO,GRADUAÇÃO
14645,133798148,133797961,66665,0,OPTATIVO,GRADUAÇÃO
14665,133797963,133797961,43193,0,OPTATIVO,GRADUAÇÃO
14721,133804427,133804382,2054953,0,OPTATIVO,GRADUAÇÃO
14794,134044413,134044403,62381,0,OPTATIVO,GRADUAÇÃO
14878,133799087,133797961,69590,0,OPTATIVO,GRADUAÇÃO
15042,133798163,133797961,61132,0,OPTATIVO,GRADUAÇÃO
15176,133797968,133797961,55940,0,OPTATIVO,GRADUAÇÃO
15229,133795236,133795010,55026,4,OBRIGATÓRIO,GRADUAÇÃO
15232,151042965,133804382,72717,0,OPTATIVO,GRADUAÇÃO
15259,133799098,133797961,69601,0,OPTATIVO,GRADUAÇÃO
15265,151042967,133804382,66443,0,OPTATIVO,GRADUAÇÃO
15393,133804472,133804382,61093,0,OPTATIVO,GRADUAÇÃO
15447,134044507,134044403,61108,0,OPTATIVO,GRADUAÇÃO
15506,133795196,133795010,66482,0,OPTATIVO,GRADUAÇÃO
15534,133797967,133797961,55939,0,OPTATIVO,GRADUAÇÃO
15631,133798113,133797961,52796,0,OPTATIVO,GRADUAÇÃO
15684,133798909,133795010,69594,0,OPTATIVO,GRADUAÇÃO
15738,139931800,134044403,69603,0,OPTATIVO,GRADUAÇÃO
15778,133795093,133795010,65104,0,OPTATIVO,GRADUAÇÃO
15846,134044410,134044403,64877,0,OPTATIVO,GRADUAÇÃO
15852,133798905,133795010,69591,0,OPTATIVO,GRADUAÇÃO
15856,134044650,134044403,52867,5,OBRIGATÓRIO,GRADUAÇÃO
16022,133798186,133797961,55026,4,OBRIGATÓRIO,GRADUAÇÃO
16049,151047851,133804382,69586,0,OPTATIVO,GRADUAÇÃO
16098,151040551,133795010,72710,0,OPTATIVO,GRADUAÇÃO
16134,134045135,134044403,55371,7,OBRIGATÓRIO,GRADUAÇÃO
16142,137509133,133804382,70970,0,OPTATIVO,GRADUAÇÃO
16222,134044514,134044403,61101,0,OPTATIVO,GRADUAÇÃO
16223,133798099,133797961,55049,0,OPTATIVO,GRADUAÇÃO
16280,133804438,133804382,51457,0,OPTATIVO,GRADUAÇÃO
16360,133798116,133797961,52688,0,OPTATIVO,GRADUAÇÃO
16378,133804557,133804382,63932,0,OPTATIVO,GRADUAÇÃO
16521,133795104,133795010,61097,0,OPTATIVO,GRADUAÇÃO
16627,133799096,133797961,69599,0,OPTATIVO,GRADUAÇÃO
16642,133795185,133795010,55057,0,OPTATIVO,GRADUAÇÃO
16646,133798162,133797961,68510,0,OPTATIVO,GRADUAÇÃO
16717,134044493,134044403,59735,0,OPTATIVO,GRADUAÇÃO
16790,133798134,133797961,55055,0,OPTATIVO,GRADUAÇÃO
16830,133799097,133797961,69600,0,OPTATIVO,GRADUAÇÃO
16858,134044649,134044403,2054911,5,OBRIGATÓRIO,GRADUAÇÃO
16894,133798087,133797961,55039,0,OPTATIVO,GRADUAÇÃO
16988,133798013,133797961,2054955,0,OPTATIVO,GRADUAÇÃO
17067,133804595,133804382,52866,5,OBRIGATÓRIO,GRADUAÇÃO
17174,139651486,133795010,72204,0,OPTATIVO,GRADUAÇÃO
17262,133798910,133795010,69595,0,OPTATIVO,GRADUAÇÃO
17384,133798901,133795010,69587,0,OPTATIVO,GRADUAÇÃO
17404,133798014,133797961,2054956,0,OPTATIVO,GRADUAÇÃO
17453,133798066,133797961,61093,0,OPTATIVO,GRADUAÇÃO
17575,137397630,133804382,69696,0,OPTATIVO,GRADUAÇÃO
17587,134044613,134044403,61129,0,OPTATIVO,GRADUAÇÃO
17629,133798109,133797961,52795,0,OPTATIVO,GRADUAÇÃO
17648,134107143,133795010,66426,0,OPTATIVO,GRADUAÇÃO
17710,133795164,133795010,52687,0,OPTATIVO,GRADUAÇÃO
17727,151047040,133804382,69609,0,OPTATIVO,GRADUAÇÃO
17803,137509119,133797961,70970,0,OPTATIVO,GRADUAÇÃO
17911,133798920,133795010,69606,0,OPTATIVO,GRADUAÇÃO
17969,151042962,133804382,72715,0,OPTATIVO,GRADUAÇÃO
18111,133795155,133795010,52683,0,OPTATIVO,GRADUAÇÃO
18114,134044517,134044403,61085,0,OPTATIVO,GRADUAÇÃO
18207,133804488,133804382,52672,0,OPTATIVO,GRADUAÇÃO
18248,133798160,133797961,68478,0,OPTATIVO,GRADUAÇÃO
18251,133795147,133795010,55048,0,OPTATIVO,GRADUAÇÃO
18318,133795188,133795010,55060,0,OPTATIVO,GRADUAÇÃO
18319,133795042,133795010,2054905,0,OPTATIVO,GRADUAÇÃO
18329,134044460,134044403,2054924,0,OPTATIVO,GRADUAÇÃO
18425,133804592,133804382,23538,4,OBRIGATÓRIO,GRADUAÇÃO
18456,133795175,133795010,52694,0,OPTATIVO,GRADUAÇÃO
18653,134044484,134044403,25561,0,OPTATIVO,GRADUAÇÃO
19019,134044491,134044403,59733,0,OPTATIVO,GRADUAÇÃO
19046,133798919,133795010,69605,0,OPTATIVO,GRADUAÇÃO
19072,133804428,133804382,2054954,0,OPTATIVO,GRADUAÇÃO
19252,133798114,133797961,52686,0,OPTATIVO,GRADUAÇÃO
