id_componente,codigo,nome,ch_teorico,ch_pratico,ch_total,equivalencia,pre_requisito,co_requisito
55023,IMD0029,ESTRUTURA DE DADOS BÁSICAS I,60,0,60,( DIM0110 ) OU ( IMD0022 ) OU ( DIM0119 ) ,IMD0012 OU DIM0118 OU IMD1012 OU DIM0133 ,
55024,IMD0030,LINGUAGEM DE PROGRAMAÇÃO I,0,60,60,( DIM0110 ) OU ( IMD0025 ) OU ( DIM0120 ) ,IMD0012 OU DIM0118 OU IMD1012 OU DIM0133 ,
55025,IMD0038,FUNDAMENTOS MATEMÁTICOS DA COMPUTAÇÃO II,60,30,90,( DIM0450 OU IMD0023 OU DIM0121 ) ,( IMD0028 ) ,
55026,IMD0039,ESTRUTURAS DE DADOS BÁSICAS II,60,0,60,( DIM0111 ) OU ( IMD0032 ) OU ( DIM0117 ) ,( IMD0029 OU DIM0119 ) ,( IMD0040 OU DIM0116 ) 
55027,IMD0040,LINGUAGEM DE PROGRAMAÇÃO II,0,60,60,( DIM0111 ) OU ( IMD0035 ) OU ( DIM0116 ) ,( IMD0030 OU DIM0120 ) ,( IMD0039 OU DIM0117 ) 
55028,IMD0043,REDES DE COMPUTADORES,45,15,60,( DIM0438 OU IMD0031 ) OU ( DCA0113 ) ,( IMD0021 OU IMD0041 OU IMD0121 OU DCA0104 ) ,
55036,IMD0319,TEORIA DE CIRCUITOS ELÉTRICOS,60,0,60,( DCA0105 ) ,( IMD0024 OU ECT1113 ) ,
55037,IMD0323,METODOLOGIAS DE PROJETOS EM SISTEMAS EMBARCADOS,30,30,60,,,
55038,IMD0321,PROJETOS BASEADOS EM MICROCONTROLADORES,30,30,60,( DCA0444 ) ,( IMD0012 ) ,( IMD0021 OU IMD0041 ) 
55039,IMD0322,SISTEMAS DIGITAIS RECONFIGURÁVEIS,60,30,90,( DCA0119 ) ,( IMD0011 ) ,
55040,IMD0320,CIRCUITOS ELETRÔNICOS,60,30,90,( DCA0203 ) ,( IMD0319 ) ,
55041,IMD0325,INTRODUÇÃO A SISTEMAS DE CONTROLE,60,0,60,( DCA0103 ) ,( IMD0034 ) OU ( IMD0319 ) ,
55042,IMD0330,REDES DE COMUNICAÇÃO EM SISTEMAS EMBARCADOS,30,30,60,,( IMD0043 E IMD0011 ) ,
55043,IMD0328,TÉCNICAS DE PROTOTIPAÇÃO E MONTAGEM DE CIRCUITOS E SISTEMAS ELETRÔNICOS,15,45,60,,,
55044,IMD0326,PROCESSAMENTO DIGITAL DE SINAIS,60,0,60,( DCA0453 OU DCA0423 ) ,( IMD0034 ) E ( IMD0319 ) ,
55045,IMD0331,DESENVOLVIMENTO EM PLATAFORMAS EMBARCADAS,30,30,60,,,
55047,IMD0333,PROJETO DE SOFTWARE E TESTES EM SISTEMAS EMBARCADOS,60,0,60,,( IMD0323 ) ,
55048,IMD0334,SENSORES INTELIGENTES,60,0,60,,( IMD0330 ) ,
55049,IMD0335,TÓPICOS ESPECIAIS I,60,0,60,,,
55050,IMD0336,TÓPICOS ESPECIAIS II,60,0,60,,,
55051,IMD0337,TI VERDE,60,0,60,,,
55052,IMD0419,COMPUTAÇÃO EM NUVEM,45,15,60,,,
55053,IMD0420,TÓPICOS AVANÇADOS EM GOVERNANÇA DE TI,30,30,60,,( IMD0411 ) ,
55054,IMD0421,GESTÃO DA MUDANÇA ORGANIZACIONAL,45,15,60,,( IMD0405 ) ,
55055,IMD0517,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL I,60,0,60,( IMD0501 ) ,,
55056,IMD0518,FUNDAMENTOS PEDAGÓGICOS PARA A INFORMÁTICA EDUCACIONAL II,60,0,60,,,
55057,IMD0519,APRENDIZAGEM BASEADA EM PROJETOS,60,0,60,,,
